band,label,note,n,vendors,min,p10,p25,median,mean,p75,p90,max,std_dev,mean_vs_median_pct
under_50g,Moins de 50 g,"Portion unique, échantillon",105,16,88.67,132.86,166.53,257.36,312.39,354.22,533.33,1000,195.22,21.4
50_150g,50 à 150 g,Sachet de détail courant,302,23,52.5,102.35,128.44,158.24,195.96,207.44,343.21,741.41,123.34,23.8
150_500g,150 à 500 g,Grand format de détail,197,18,20.09,48.75,75.44,111,141.57,177.75,271.44,962.8,114.49,27.5
500g_2kg,500 g à 2 kg,"Format familial, boîte",224,15,11.32,48.32,73.72,120,141.36,203.77,249.23,589.07,90.81,17.8
over_2kg,Plus de 2 kg,"Vrac, gros contenant",98,8,34.32,69.16,80.79,145.13,152.37,243.13,243.13,302.03,76.33,5
